idx_num,filename,score,distance_error,final_coordinates_x,final_coordinates_y,final_coordinates_z,target_x,target_y,target_z,spacing_x,spacing_y,spacing_z
1,Bordeaux_Case105,8.739869296445299,22.081367875450482,254,269,164,304,309,153,0.333984375,0.333984375,0.5
2,Bordeaux_Case143,68.92687153138104,16.904661431835894,262,292,180,299,273,181,0.40625,0.40625,0.5
3,Bordeaux_Case149,26.41036880280222,5.820339044087961,285,252,187,285,247,198,0.380859375,0.380859375,0.5
4,Bordeaux_Case150,23.41186120160716,10.351630306381695,252,320,168,253,301,183,0.375,0.375,0.5
5,Bordeaux_Case159,51.29062993210881,5.543340712171741,272,261,192,273,251,199,0.427734375,0.427734375,0.5
6,Bordeaux_Case16,38.470120513192974,32.991368060692984,255,220,270,306,273,260,0.443359375,0.443359375,0.5
7,Bordeaux_Case172,44.419523095399285,22.702706897256693,275,213,332,323,253,310,0.34765625,0.34765625,0.29998779296875
8,Bordeaux_Case178,55.78604372209519,3.5897924032472153,251,303,241,253,310,245,0.44140625,0.44140625,0.4000091552734375
9,Bordeaux_Case18,45.351848000550895,2.109375,256,257,254,253,253,254,0.421875,0.421875,0.4000244140625
10,Bordeaux_Case192,53.455157223145115,6.149705152693191,266,261,310,253,257,313,0.447265625,0.447265625,0.300048828125
11,Bordeaux_Case196,22.039640337330866,5.272946070979144,298,226,342,309,215,345,0.333984375,0.333984375,0.29998779296875
12,Bordeaux_Case2,63.946206091207266,6.812631028341423,295,276,124,281,271,125,0.45703125,0.45703125,0.5
13,Bordeaux_Case205,26.951562758766826,7.06770083444718,276,238,272,273,246,293,0.375,0.375,0.29998779296875
14,Bordeaux_Case208,15.992589273131674,4.949428949807497,260,244,447,273,245,446,0.37890625,0.37890625,0.2999267578125
15,Bordeaux_Case211,87.91446063097948,10.206154261161624,258,221,717,269,227,689,0.462890625,0.462890625,0.2999267578125
16,Bordeaux_Case25,33.72621139236471,49.22534036519286,240,208,168,278,301,215,0.451171875,0.451171875,0.40000152587890625
17,Bordeaux_Case34,17.434250648996965,13.935152548949725,275,271,178,253,255,191,0.453125,0.453125,0.5
18,Bordeaux_Case52,20.82281253027017,7.144512295371931,220,231,248,229,245,244,0.412109375,0.412109375,0.5
19,Bordeaux_Case55,8.134026303121374,5.549474316694365,257,294,228,273,295,227,0.458984375,0.458984375,0.5
20,Bordeaux_Case56,14.767047046990772,0.0,277,233,254,277,233,254,0.486328125,0.486328125,0.40000152587890625
21,Bordeaux_Case6,9.61234794918348,3.5488361868716907,247,262,214,253,256,215,0.4140625,0.4140625,0.5
22,Bordeaux_Case89,20.215911387360602,7.35922701093575,341,238,176,343,253,168,0.408203125,0.408203125,0.5
23,Bordeaux_Case92,34.075400374663374,19.851144353132547,329,256,230,281,233,257,0.2734375,0.2734375,0.5
24,Bordeaux_Case98,51.08462146938476,16.204619085866153,324,276,198,293,258,210,0.419921875,0.419921875,0.5
25,denmark_A15,35.55000463841262,9.41270957818359,259,227,398,277,236,383,0.42899999022483826,0.42899999022483826,0.25
26,denmark_A17,76.99571314497418,4.723395821419938,274,260,412,277,250,418,0.42899999022483826,0.42899999022483826,0.25
27,denmark_A18,25.289269744840183,5.657307128980529,276,264,438,281,254,450,0.42899999022483826,0.42899999022483826,0.25
28,denmark_A9,36.31512767549057,11.057502211854358,236,249,387,253,256,356,0.42899999022483826,0.42899999022483826,0.25
29,denmark_W14,7.231025601384758,28.722486372741013,266,247,446,320,285,427,0.42899999022483826,0.42899999022483826,0.25
30,denmark_W6,51.247547504234745,2.366648429810136,290,249,403,293,253,399,0.42899999022483826,0.42899999022483826,0.25
31,Bordeaux_Case102,110.87177560845718,4.549451589546261,261,324,252,253,326,257,0.4609375,0.4609375,0.5
